id,Prov_Name,votes,Mohammad Ashraf Ghani,Abdullah Abdullah,Other
1,Kabul,349082,166619,141881,40582
2,Kapisa,14114,4599,7089,2426
3,Parwan,33211,7783,20448,4980
4,Wardak,19901,1279,17139,1483
5,Logar,14196,13344,503,349
6,Nangarhar,204356,188462,4949,10945
7,Laghman,25930,22769,469,2692
8,Panjsher,18393,2079,15343,971
9,Baghlan,30258,5830,21009,3419
10,Bamyan,82452,15021,55795,11636
11,Ghazni,51923,19259,26946,5718
12,Paktika,31512,29499,828,1185
13,Paktya,38386,35657,1643,1086
14,Khost,77866,75109,787,1970
15,Kunar,64205,54907,5072,4226
16,Nuristan,10869,6290,3516,1063
17,Badakhshan,70127,15234,39246,15647
18,Takhar,61835,8583,49516,3736
19,Kunduz,12676,3636,8074,966
20,Samangan,37393,7123,28392,1878
21,Balkh,72345,24073,40078,8194
22,Sar-e-Pul,34202,6154,26323,1725
23,Ghor,48540,21553,19849,7138
24,Daykundi,98170,29742,62521,5907
25,Uruzgan,5434,3518,936,980
26,Zabul,5983,5380,262,341
27,Kandahar,68373,59467,3667,5239
28,Jawzjan,37710,7305,29006,1399
29,Faryab,26596,5207,20476,913
30,Hilmand,38137,31072,4878,2187
31,Badghis,9664,2374,6209,1081
32,Hirat,116210,34199,56117,25894
33,Farah,4541,3552,539,450
34,Nimroz,9801,7186,1482,1133
,Total,,923864,720988,179539
